Asset y,Asset x,Hedge_Ratio,P_Value,Half_Life
ZF=F,ZN=F,1.2879596553168333,0.03959850026378856,46.17878168614459
GC=F,HG=F,0.32005120162432904,0.009503232297970189,33.2163737284477
6E=F,6B=F,0.958948704909695,0.04095517491625579,35.75499342331847
6J=F,6A=F,0.4031208718307906,0.021745173984108968,38.19588267934406
6J=F,6C=F,0.3181346570928526,0.004857776651504948,32.73973114223439
ZC=F,ZW=F,0.8586128536944289,0.006874264703085505,34.0290589754684
ZC=F,ZS=F,0.7207477855084009,0.01494869995062231,41.550197844364604
ZC=F,ZM=F,0.6545166210933855,0.047803322991593934,52.86335600837961
ZC=F,ZL=F,0.6943165837654479,0.04821044520493456,47.591758977719785
ZW=F,ZS=F,0.6751932907413593,0.016796062600569914,43.88790684636811
ZW=F,ZM=F,0.6076815611584064,0.03276240824650502,51.98465910976492
ZW=F,ZL=F,0.7077951102508799,0.022956258519213485,38.6215478659787
ZS=F,ZM=F,0.9609141628673594,0.009428919571851825,36.80061197440572
