Asset_y,Asset_x,Sharpe,Max_Drawdown
ZF=F,ZN=F,0.6558393252364996,0.017462998249112793
GC=F,HG=F,-0.7543970155255557,0.3380652188106792
6E=F,6B=F,1.2081830395403352,0.024536454890817128
6J=F,6A=F,-0.07431776333078635,0.07495068859629939
6J=F,6C=F,-0.030497861373908565,0.08286722598349172
ZC=F,ZW=F,-0.3726301286003949,0.2425518998879994
ZC=F,ZS=F,-0.12069490086659512,0.2118458001981871
ZC=F,ZM=F,0.43216038706399723,0.28579249763503745
ZC=F,ZL=F,-0.8561484075077858,0.4343224597145823
ZW=F,ZS=F,1.718696902928317,0.07415294835865094
ZW=F,ZM=F,0.5684472334266373,0.126152645028915
ZW=F,ZL=F,0.8743360831695137,0.16488659733786903
ZS=F,ZM=F,1.9570539492709818,0.06312542669044419
